代码   	名称	涨幅%%	现价	日涨跌	买入价	卖出价	总量	现量	涨速%%	换手%%	今开	昨收	最高	最低	市盈(动)	总金额	
000001	深发展Ａ	-0.76	18.26	-0.14	18.25	18.26	412579	2671	--- 	          1.41	18.03	18.40	18.55	17.95	     8.98	752185920	
000002	万  科Ａ	0.56	7.22	0.04	7.21	7.22	662623	3973	          0.13	          0.69	7.05	7.18	7.30	7.00	    17.62	477327456	
000004	*ST国农	-0.20	9.96	-0.02	9.96	9.97	6279	76	          0.20	          0.89	9.70	9.98	10.08	9.69	--- 	6247589	
000005	世纪星源	-2.41	4.45	-0.11	4.45	4.46	90618	1229	         -0.22	          0.99	4.50	4.56	4.60	4.39	--- 	40852016	
000006	深振业Ａ	2.73	8.66	0.23	8.65	8.66	96401	1666	--- 	          1.95	8.28	8.43	8.76	8.21	    28.80	83081200	
000007	ST零七	-4.99	7.42	-0.39	--- 	7.42	50036	109	--- 	          2.71	7.47	7.81	7.55	7.42	--- 	37196124	
000008	ST宝利来	-1.12	12.40	-0.14	12.35	12.40	7902	189	          0.40	          1.53	12.40	12.54	12.66	12.09	--- 	9840087	
000009	中国宝安	-3.34	10.42	-0.36	10.41	10.42	175940	2202	          0.38	          1.78	10.40	10.78	10.88	10.30	    34.78	187174624	
000010	S ST华新	--- 	0.00	--- 	--- 	--- 	0	0	--- 	          0.00	--- 	14.63	--- 	--- 	--- 	--- 	
000011	深物业A	-0.68	7.33	-0.05	7.33	7.34	34229	267	--- 	          2.45	7.20	7.38	7.50	7.01	   384.58	25050612	
000012	南  玻Ａ	0.91	22.13	0.20	22.13	22.14	138864	1969	          0.04	          2.45	21.10	21.93	22.38	20.90	    22.61	303536256	
000014	沙河股份	3.82	11.41	0.42	11.41	11.42	106298	850	         -0.17	          5.27	10.60	10.99	11.79	10.48	     8.40	120975456	
000016	深康佳Ａ	4.54	5.76	0.25	5.76	5.77	291737	3730	          0.17	          4.86	5.25	5.51	5.81	5.21	    48.67	163961216	
000017	*ST中华A	0.63	6.42	0.04	6.42	6.43	23209	138	         -0.15	          2.00	6.26	6.38	6.55	6.12	--- 	14813975	
000018	*ST中冠A	-0.64	7.77	-0.05	7.70	7.77	5190	12	         -0.51	          0.52	7.60	7.82	7.86	7.51	--- 	3997277	
000019	深深宝Ａ	-2.54	10.75	-0.28	10.75	10.77	20062	272	         -0.55	          1.42	10.78	11.03	11.00	10.55	--- 	21636574	
000020	深华发Ａ	1.57	9.06	0.14	9.06	9.07	16010	372	          0.22	          2.48	8.71	8.92	9.21	8.62	    53.23	14424323	
000021	长城开发	-7.76	13.91	-1.17	13.90	13.91	189693	1907	         -0.14	          2.16	14.53	15.08	15.05	13.70	    40.53	271493280	
000022	深赤湾Ａ	-3.06	12.99	-0.41	12.99	13.00	17259	260	--- 	          0.37	13.18	13.40	13.20	12.90	    15.96	22497242	
000023	深天地Ａ	-4.44	7.74	-0.36	7.74	7.75	21520	421	         -0.12	          2.18	7.99	8.10	8.08	7.50	--- 	16779490	
000024	招商地产	0.70	15.74	0.11	15.73	15.74	169033	1045	--- 	          2.61	15.30	15.63	16.16	15.18	    17.56	268069920	
000025	特  力Ａ	1.59	11.48	0.18	11.47	11.48	9539	170	          0.87	          0.53	11.28	11.30	11.57	11.05	--- 	10853798	
000026	飞亚达Ａ	-2.05	14.36	-0.30	14.36	14.39	10848	124	--- 	          1.36	14.14	14.66	14.70	14.12	    44.22	15676616	
000027	深圳能源	-3.78	11.20	-0.44	11.20	11.21	66570	589	         -0.08	          1.11	11.50	11.64	11.51	11.18	    14.39	75441824	
000028	一致药业	-4.48	32.00	-1.50	31.99	32.00	16874	700	          1.26	          0.72	33.08	33.50	33.10	31.51	    36.04	54936216	
000029	深深房Ａ	-4.36	5.26	-0.24	5.25	5.26	63413	1763	          0.19	          0.71	5.40	5.50	5.47	5.10	   243.71	33741708	
000030	*ST盛润A	3.78	10.15	0.37	10.15	10.16	33094	1010	          0.39	          5.13	9.65	9.78	10.15	9.50	--- 	32718698	
000031	中粮地产	0.29	6.96	0.02	6.95	6.96	103730	1273	--- 	          0.57	6.79	6.94	7.11	6.74	    85.60	72511424	
000032	深桑达Ａ	-3.21	10.86	-0.36	10.85	10.86	34616	778	         -0.18	          1.49	10.43	11.22	11.41	10.43	    76.52	38502696	
000033	新都酒店	-2.03	6.76	-0.14	6.75	6.76	36873	286	         -0.14	          1.12	6.70	6.90	6.97	6.61	--- 	25107168	
000034	*ST深泰	--- 	0.00	--- 	--- 	--- 	0	0	--- 	          0.00	--- 	8.80	--- 	--- 	--- 	--- 	
000035	*ST科健	4.98	6.75	0.32	6.75	--- 	32864	45	--- 	          3.85	6.34	6.43	6.75	6.28	   109.43	21954236	
000036	*ST华控	4.50	5.11	0.22	5.11	5.12	162193	3955	--- 	          1.44	4.74	4.89	5.12	4.67	    47.38	80313064	
000037	深南电Ａ	5.25	7.02	0.35	7.02	7.03	185188	1082	--- 	          5.46	6.67	6.67	7.23	6.54	--- 	129095136	
000039	中集集团	-1.50	11.86	-0.18	11.86	11.87	69993	738	         -0.08	          0.57	11.90	12.04	12.15	11.82	    22.28	83788632	
000040	深 鸿 基	-1.75	5.60	-0.10	5.60	5.61	19711	108	         -0.17	          0.54	5.52	5.70	5.73	5.51	    58.93	11104651	
000042	深 长 城	0.00	14.10	0.00	14.09	14.10	19724	234	--- 	          0.82	13.75	14.10	14.42	13.62	    22.86	27912968	
000043	中航地产	-0.09	10.70	-0.01	10.70	10.71	15789	136	--- 	          1.42	10.33	10.71	10.90	10.33	   110.98	16841156	
000045	深纺织Ａ	1.45	11.88	0.17	11.86	11.88	13769	243	          0.67	          0.70	11.60	11.71	11.88	11.40	    63.92	16053710	
000046	泛海建设	0.23	8.72	0.02	8.71	8.72	50454	372	--- 	          1.14	8.49	8.70	8.91	8.42	    49.42	44121408	
000048	ST康达尔	-3.99	5.05	-0.21	5.04	5.05	52036	1099	         -0.19	          1.37	5.02	5.26	5.21	5.00	   152.79	26511116	
000049	德赛电池	-7.74	24.07	-2.02	24.07	24.08	152261	2575	         -0.04	         11.13	26.09	26.09	26.28	23.99	    85.31	380827360	
000050	深天马Ａ	4.20	8.19	0.33	8.18	8.19	382662	10734	         -0.24	         12.26	7.68	7.86	8.64	7.66	   216.39	317497216	
000055	方大集团	1.94	12.61	0.24	12.60	12.61	150427	1690	          0.15	          6.47	12.00	12.37	13.00	11.90	   126.07	188975408	
000056	深 国 商	-0.58	10.32	-0.06	10.32	10.35	12302	346	          0.09	          1.03	10.22	10.38	10.60	9.96	--- 	12766329	
000058	深 赛 格	-3.32	6.40	-0.22	6.40	6.41	45502	325	--- 	          0.85	6.50	6.62	6.62	6.31	    79.68	29408122	
