公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,地 区,省 份,城 市,所属行业,公司网址
000001,深 发 展,深圳发展银行股份有限公司,"SHENZHEN DEVELOPMENT BANK CO.,LTD",广东省深圳市深南东路5047号深圳发展银行大厦,1,深发展Ａ,4/3/1991,"3,105,433,762","2,921,206,102",华南,广东,深圳市,I 金融保险,www.sdb.com.cn
000002,万 科,万科企业股份有限公司,"CHINA VANKE CO., LTD",广东省深圳市盐田区大梅沙环梅路33号万科中心,2,万 科Ａ,1/29/1991,"9,680,254,750","9,652,357,126",华南,广东,深圳市,J 房地产业,www.vanke.com
000004,国农科技,深圳中国农大科技股份有限公司,"SHENZHEN CAU TECHNOLOGY CO., LTD",广东省深圳市福田区商报路奥林匹克大厦6层D-E室,4,*ST国农,12/1/1990,"83,976,684","70,248,687",华南,广东,深圳市,F 运输仓储,www.cau-tech.com
000005,世纪星源,深圳世纪星源股份有限公司,SHENZHEN FOUNTAIN CORPORATION,广东省深圳市人民南路发展中心大厦13楼,5,世纪星源,12/10/1990,"914,333,607","912,315,959",华南,广东,深圳市,M 综合类,www.fountain.com.cn
000006,深 振 业,深圳市振业(集团)股份有限公司,"SHENZHEN ZHENYE(GROUP) CO.,LTD",深圳市罗湖区宝安南路2014号振业大厦B座11-17层,6,深振业Ａ,4/27/1992,"507,183,262","493,450,916",华南,广东,深圳市,J 房地产业,www.zhenye.com
000007,深零七,深圳市零七股份有限公司,"SHENZHEN Zero-Seven CO., LTD",深圳市华强北路1058 号现代之窗大厦A 座25 层,7,ST零七,4/13/1992,"184,965,363","184,776,701",华南,广东,深圳市,J 房地产业,
000008,宝 利 来,广东宝利来投资股份有限公司,BAOLILAI INVESTMENT CO.，LTD. GUANGDONG,广东省深圳市南山区内环路5号锦兴工业小区管理楼二楼,8,ST宝利来,5/7/1992,"73,653,208","51,662,381",华南,广东,深圳市,G 信息技术,
000009,中国宝安,中国宝安集团股份有限公司,"CHINA BAOAN GROUP CO.,LTD",深圳市笋岗东路1002 号宝安广场A 座28-29 层,9,中国宝安,6/25/1991,"1,090,750,529","988,645,265",华南,广东,深圳市,M 综合类,www.chinabaoan.com
000010,深 华 新,深圳市华新股份有限公司,"SHENZHEN HUAXIN CO., LTD",广东省深圳市福田区振兴路华美大厦西座五楼530 室,10,S ST华新,10/27/1995,"147,017,448","67,599,944",华南,广东,深圳市,H 批发零售,
000011,深 物 业,深圳市物业发展(集团)股份有限公司,"SHENZHEN PROPERTIES & RESOURCES DEVELOPMENT (GROUP)CO., LTD",广东省深圳市人民南路国贸大厦39、42层,11,深物业A,3/30/1992,"528,373,849","139,706,036",华南,广东,深圳市,M 综合类,www.szwuye.com.cn
