代码   	名称	涨幅%%	现价	日涨跌	买入价	卖出价	总量	现量	涨速%%	换手%%	今开	昨收	最高	最低	市盈(动)	总金额	
000001	深发展Ａ	0.93	18.43	0.17	18.43	18.44	386416	3261	--- 	          1.32	18.35	18.26	18.68	18.19	     9.07	710974016	
000002	万  科Ａ	1.11	7.30	0.08	7.30	7.31	567044	4051	         -0.27	          0.59	7.22	7.22	7.37	7.22	    17.81	413750720	
000004	*ST国农	-1.00	9.86	-0.10	9.85	9.86	5282	50	         -0.30	          0.75	9.96	9.96	10.04	9.60	--- 	5186790	
000005	世纪星源	1.57	4.52	0.07	4.51	4.52	73837	675	          0.22	          0.81	4.45	4.45	4.56	4.44	--- 	33251300	
000006	深振业Ａ	3.12	8.93	0.27	8.93	8.94	83348	1797	          0.11	          1.69	8.64	8.66	9.01	8.63	    29.70	73759432	
000007	ST零七	-4.99	7.05	-0.37	--- 	7.05	56910	351	--- 	          3.08	7.21	7.42	7.39	7.05	--- 	40410224	
000008	ST宝利来	4.92	13.01	0.61	13.00	13.01	15080	502	--- 	          2.92	12.40	12.40	13.02	12.29	--- 	19129954	
000009	中国宝安	-2.02	10.21	-0.21	10.21	10.23	217031	560	          0.29	          2.19	10.42	10.42	10.61	9.66	    34.08	220029328	
000010	S ST华新	--- 	0.00	--- 	--- 	--- 	0	0	--- 	          0.00	--- 	14.63	--- 	--- 	--- 	--- 	
000011	深物业A	2.59	7.52	0.19	7.52	7.53	44636	457	         -0.13	          3.19	7.26	7.33	7.64	7.26	   394.55	33375192	
000012	南  玻Ａ	-5.78	20.85	-1.28	20.85	20.86	194016	1383	          0.04	          3.42	22.20	22.13	22.35	20.56	    21.30	412266656	
000014	沙河股份	3.77	11.84	0.43	11.84	11.85	118773	1042	          0.16	          5.89	11.51	11.41	12.02	10.93	     8.72	137565360	
000016	深康佳Ａ	5.73	6.09	0.33	6.08	6.09	541081	5493	          0.82	          9.02	5.76	5.76	6.14	5.72	    51.45	322993568	
000017	*ST中华A	1.87	6.54	0.12	6.54	6.55	32828	189	         -0.15	          2.83	6.25	6.42	6.59	6.25	--- 	21293184	
000018	*ST中冠A	-0.39	7.74	-0.03	7.74	7.80	5221	23	          0.51	          0.52	7.75	7.77	7.90	7.62	--- 	4066360	
000019	深深宝Ａ	-3.44	10.38	-0.37	10.38	10.39	18535	197	          0.09	          1.31	10.61	10.75	10.98	10.10	--- 	19512854	
000020	深华发Ａ	1.10	9.16	0.10	9.15	9.16	18846	350	          0.21	          2.91	9.06	9.06	9.19	8.66	    53.82	17021448	
000021	长城开发	-5.68	13.12	-0.79	13.12	13.13	130922	868	          0.07	          1.49	13.88	13.91	14.01	13.00	    38.22	175534624	
000022	深赤湾Ａ	0.69	13.08	0.09	13.08	13.09	17814	110	--- 	          0.38	13.12	12.99	13.30	12.64	    16.07	23161030	
000023	深天地Ａ	2.07	7.90	0.16	7.89	7.90	16050	151	--- 	          1.62	7.64	7.74	8.03	7.64	--- 	12611253	
000024	招商地产	3.37	16.27	0.53	16.27	16.28	152849	1430	          0.06	          2.36	15.95	15.74	16.46	15.80	    18.15	246865408	
000025	特  力Ａ	0.61	11.55	0.07	11.54	11.55	9447	139	--- 	          0.53	11.48	11.48	11.67	11.11	--- 	10828900	
000026	飞亚达Ａ	-4.46	13.72	-0.64	13.70	13.72	13669	193	         -0.29	          1.72	14.38	14.36	14.53	13.51	    42.25	19034984	
000027	深圳能源	1.07	11.32	0.12	11.31	11.32	43070	289	          0.17	          0.72	11.16	11.20	11.38	11.09	    14.54	48455272	
000028	一致药业	-3.25	30.96	-1.04	30.88	30.96	11616	150	          0.51	          0.50	32.00	32.00	32.30	29.88	    34.87	36127512	
000029	深深房Ａ	1.14	5.32	0.06	5.32	5.33	48377	641	--- 	          0.54	5.27	5.26	5.40	5.21	   246.49	25697592	
000030	*ST盛润A	-1.67	9.98	-0.17	9.98	10.00	45555	594	         -0.10	          7.06	10.16	10.15	10.60	9.64	--- 	46401096	
000031	中粮地产	2.01	7.10	0.14	7.10	7.11	122591	1107	         -0.14	          0.68	7.02	6.96	7.14	6.95	    87.32	86576392	
000032	深桑达Ａ	--- 	0.00	--- 	--- 	--- 	0	0	--- 	          0.00	--- 	10.86	--- 	--- 	    76.52	--- 	
000033	新都酒店	-2.66	6.58	-0.18	6.57	6.58	49923	459	         -0.15	          1.52	6.75	6.76	6.86	6.39	--- 	32968960	
000034	*ST深泰	--- 	0.00	--- 	--- 	--- 	0	0	--- 	          0.00	--- 	8.80	--- 	--- 	--- 	--- 	
000035	*ST科健	-2.67	6.57	-0.18	6.55	6.57	19968	98	--- 	          2.34	6.75	6.75	6.78	6.41	   106.51	13126892	
000036	*ST华控	-0.98	5.06	-0.05	5.05	5.06	116448	593	          0.19	          1.04	5.05	5.11	5.14	4.96	    46.91	58737676	
000037	深南电Ａ	-6.70	6.55	-0.47	6.54	6.55	73015	690	          0.30	          2.15	7.02	7.02	7.05	6.32	--- 	47944200	
000039	中集集团	3.63	12.29	0.43	12.28	12.29	72253	630	          0.32	          0.59	11.84	11.86	12.30	11.80	    23.08	87684448	
000040	深 鸿 基	1.96	5.71	0.11	5.70	5.71	18952	123	          0.17	          0.52	5.65	5.60	5.74	5.58	    60.09	10761636	
000042	深 长 城	2.84	14.50	0.40	14.50	14.51	17739	175	          0.20	          0.74	14.10	14.10	14.58	13.86	    23.50	25471766	
000043	中航地产	4.77	11.21	0.51	11.21	11.22	27524	516	          0.53	          2.48	10.66	10.70	11.26	10.66	   116.27	30447752	
000045	深纺织Ａ	-0.59	11.81	-0.07	11.81	11.83	11606	103	          0.08	          0.59	11.88	11.88	12.05	11.25	    63.55	13548927	
000046	泛海建设	6.77	9.31	0.59	9.31	9.32	128754	1903	          0.10	          2.90	8.72	8.72	9.40	8.71	    52.76	117359008	
000048	ST康达尔	-0.59	5.02	-0.03	5.02	5.03	41316	266	          0.39	          1.09	5.07	5.05	5.15	4.88	   151.88	20723468	
000049	德赛电池	-5.90	22.65	-1.42	22.65	22.66	115435	861	         -0.17	          8.44	23.52	24.07	24.52	21.77	    80.27	264450688	
000050	深天马Ａ	-4.52	7.82	-0.37	7.81	7.82	203436	2431	          0.12	          6.52	8.21	8.19	8.34	7.50	   206.62	161782096	
000055	方大集团	2.22	12.89	0.28	12.88	12.89	178794	3621	          0.07	          7.69	12.62	12.61	13.08	11.90	   128.87	226368512	
000056	深 国 商	2.13	10.54	0.22	10.54	10.55	12587	419	          0.19	          1.06	10.17	10.32	10.54	10.00	--- 	12979166	
000058	深 赛 格	-2.50	6.24	-0.16	6.24	6.25	49164	234	          0.16	          0.91	6.40	6.40	6.55	6.10	    77.68	30949402	
000059	辽通化工	-0.09	11.13	-0.01	11.13	11.18	64432	1536	         -0.62	          0.65	11.18	11.14	11.33	10.91	    35.81	71819672	
000060	中金岭南	7.97	13.00	0.96	12.99	13.00	381042	11930	          0.69	          2.40	12.20	12.04	13.00	12.20	    37.27	479544128	
000061	农 产 品	-3.57	15.66	-0.58	15.66	15.67	210348	1091	         -0.06	          3.26	16.38	16.24	16.85	14.90	    87.41	335482688	
000062	深圳华强	-1.77	9.42	-0.17	9.41	9.42	30930	709	--- 	          1.85	9.50	9.59	9.65	9.20	    52.14	29133416	
000063	中兴通讯	0.70	34.49	0.24	34.48	34.49	114736	1785	          0.11	          0.77	34.14	34.25	34.85	33.80	   149.99	393442592	
000065	北方国际	-3.75	28.98	-1.13	28.98	28.99	8568	63	         -0.06	          0.53	29.16	30.11	30.28	27.71	--- 	24871962	
000066	长城电脑	-3.89	18.27	-0.74	18.26	18.27	55690	569	         -0.21	          1.01	19.00	19.01	19.30	18.01	    29.31	103253448	
000068	ST三星	-5.05	6.20	-0.33	--- 	6.20	96278	402	--- 	          1.58	6.43	6.53	6.66	6.20	--- 	60246664	
000069	华侨城Ａ	3.70	11.77	0.42	11.77	11.78	271222	2448	          0.08	          2.10	11.42	11.35	11.96	11.40	    27.58	317778240	
000070	特发信息	5.89	10.06	0.56	10.06	10.07	62425	2161	          0.29	          2.63	9.35	9.50	10.08	9.00	    82.29	59774468	
000078	海王生物	-1.30	12.17	-0.16	12.16	12.17	93272	1025	          0.08	          1.43	12.34	12.33	12.60	11.85	   107.52	114088008	
000088	盐 田 港	1.14	7.11	0.08	7.11	7.12	43799	145	          0.14	          1.08	7.05	7.03	7.16	6.95	    23.07	30984672	
000089	深圳机场	0.64	6.30	0.04	6.29	6.30	50102	684	          0.15	          0.77	6.27	6.26	6.34	6.17	    14.37	31434054	
000090	深 天 健	3.41	9.10	0.30	9.09	9.10	48380	495	          0.11	          1.11	8.89	8.80	9.17	8.81	--- 	43662832	
000096	广聚能源	-1.76	7.26	-0.13	7.25	7.26	29393	342	          0.13	          0.58	7.40	7.39	7.59	7.09	--- 	21407294	
000099	中信海直	-1.34	7.35	-0.10	7.35	7.36	84342	1120	         -0.13	          3.08	7.42	7.45	7.55	7.16	    26.11	61999076	
000100	TCL 集团	1.92	4.25	0.08	4.24	4.25	244226	1667	          0.23	          0.87	4.18	4.17	4.28	4.16	    48.32	103166680	
000150	宜华地产	2.07	7.40	0.15	7.39	7.40	126555	3950	         -0.13	          7.58	7.38	7.25	7.66	7.28	   560.70	94657048	
000151	中成股份	-10.00	15.12	-1.68	--- 	15.12	120283	397	--- 	          4.51	16.80	16.80	17.09	15.12	   148.33	190631712	
000153	丰原药业	-0.84	8.28	-0.07	8.28	8.29	40310	173	          0.24	          1.74	8.40	8.35	8.54	7.96	   109.91	33254636	
000155	川化股份	1.00	7.10	0.07	7.10	7.11	36962	557	         -0.28	          0.79	7.04	7.03	7.16	6.89	--- 	26017896	
000157	中联重科	2.81	17.94	0.49	17.93	17.94	172805	1464	          0.11	          1.03	17.30	17.45	18.04	17.19	    12.03	305198432	
000158	常山股份	-2.21	8.41	-0.19	8.41	8.42	54272	671	          0.23	          0.75	8.61	8.60	8.75	8.28	  9693.16	46071348	
