代码   	名称	涨幅%%	现价	日涨跌	买入价	卖出价	总量	现量	涨速%%	换手%%	今开	昨收	最高	最低	市盈(动)	总金额	
200002	万  科Ｂ	0.88	6.84	0.06	6.84	6.87	22756	116	         -0.43	          0.17	6.76	6.78	6.90	6.73	    14.69	15510112	
200011	深物业B	-0.53	3.75	-0.02	3.70	3.75	3139	1	          1.62	          0.46	3.77	3.77	3.80	3.58	   173.14	1162857	
200012	南  玻Ｂ	-3.12	10.57	-0.34	10.57	10.59	58499	223	          0.09	          1.30	11.08	10.91	11.11	10.22	     9.50	62203464	
200016	深康佳Ｂ	0.32	3.11	0.01	3.11	3.12	24789	180	--- 	          0.61	3.11	3.10	3.20	3.03	    23.12	7736791	
200017	*ST中华B	4.87	2.37	0.11	2.37	--- 	39561	436	--- 	          1.59	2.27	2.26	2.37	2.24	--- 	9279282	
200018	*ST中冠B	1.11	3.64	0.04	3.58	3.64	2103	1	--- 	          0.30	3.64	3.60	3.69	3.55	--- 	765072	
200019	深深宝Ｂ	-3.93	5.38	-0.22	5.31	5.39	2396	25	         -0.37	          0.92	5.60	5.60	5.61	5.19	--- 	1313418	
200020	深华发Ｂ	-0.55	3.62	-0.02	3.56	3.62	2127	16	          1.97	          0.21	3.54	3.64	3.71	3.45	    18.72	768003	
200022	深赤湾Ｂ	0.00	10.50	0.00	10.42	10.50	2822	20	          0.76	          0.16	10.50	10.50	10.70	10.06	    11.35	2936184	
200024	招商局Ｂ	-1.60	12.27	-0.20	12.27	12.30	11368	50	         -0.24	          0.80	12.84	12.47	12.87	12.13	    12.04	13966871	
200025	特  力Ｂ	0.22	4.54	0.01	4.50	4.54	851	85	--- 	          0.32	4.44	4.53	4.73	4.44	--- 	386601	
200026	飞亚达Ｂ	-2.92	6.65	-0.20	6.62	6.65	3949	59	--- 	          0.68	6.85	6.85	6.85	6.56	    18.02	2629495	
200028	一  致Ｂ	-6.13	18.39	-1.20	18.39	18.48	3466	2	          0.05	          0.63	19.25	19.59	19.68	18.25	    18.23	6504903	
200029	深深房Ｂ	0.00	2.73	0.00	2.73	2.74	2748	1	--- 	          0.23	2.75	2.73	2.76	2.71	   111.31	750453	
