代码   	名称	涨幅%%	现价	日涨跌	买入价	卖出价	总量	现量	涨速%%	换手%%	今开	昨收	最高	最低	市盈(动)	总金额	
395001	主板Ａ股	--- 	0.00	--- 	--- 	--- 	36286271	--- 	--- 	--- 	--- 	453.00	--- 	--- 	--- 	41962831872	
395002	主板Ｂ股	--- 	0.00	--- 	--- 	--- 	745584	--- 	--- 	--- 	--- 	53.00	--- 	--- 	--- 	385821440	
395003	中小板	--- 	0.00	--- 	--- 	--- 	11914380	--- 	--- 	--- 	--- 	398.00	--- 	--- 	--- 	23649126400	
395004	创业板	--- 	0.00	--- 	--- 	--- 	1312903	--- 	--- 	--- 	--- 	78.00	--- 	--- 	--- 	5565353984	
395011	封闭基金	--- 	0.00	--- 	--- 	--- 	5493521	--- 	--- 	--- 	--- 	22.00	--- 	--- 	--- 	473257632	
395012	ＬＯＦｓ	--- 	0.00	--- 	--- 	--- 	1367327	--- 	--- 	--- 	--- 	40.00	--- 	--- 	--- 	116131904	
395013	ＥＴＦｓ	--- 	0.00	--- 	--- 	--- 	3205965	--- 	--- 	--- 	--- 	3.00	--- 	--- 	--- 	886612736	
395021	可 转 债	--- 	0.00	--- 	--- 	--- 	3235	--- 	--- 	--- 	--- 	3.00	--- 	--- 	--- 	47382072	
395022	企债现券	--- 	0.00	--- 	--- 	--- 	17719	--- 	--- 	--- 	--- 	67.00	--- 	--- 	--- 	180109792	
395023	企债回购	--- 	0.00	--- 	--- 	--- 	26	--- 	--- 	--- 	--- 	4.00	--- 	--- 	--- 	260000	
395031	国债现券	--- 	0.00	--- 	--- 	--- 	82	--- 	--- 	--- 	--- 	159.00	--- 	--- 	--- 	800309	
395032	国债回购	--- 	0.00	--- 	--- 	--- 	0	--- 	--- 	--- 	--- 	9.00	--- 	--- 	--- 	--- 	
395041	股票权证	--- 	0.00	--- 	--- 	--- 	0	--- 	--- 	--- 	--- 	0.00	--- 	--- 	--- 	--- 	
395099	总 成 交	--- 	0.00	--- 	--- 	--- 	60325950	--- 	--- 	--- 	--- 	1.00	--- 	--- 	--- 	73039134720	
399001	深证成指	1.16	10264.04	117.62	--- 	--- 	60325950	--- 	          0.01	--- 	10156.90	10146.42	10314.02	10042.13	--- 	73039134720	
399002	成份Ａ指	1.16	11023.38	126.32	--- 	--- 	49513553	--- 	          0.01	--- 	10908.31	10897.06	11077.06	10785.05	--- 	71177314304	
399003	成份Ｂ指	-1.12	3966.34	-44.83	--- 	--- 	745584	--- 	         -0.14	--- 	4007.30	4011.17	4020.55	3907.98	--- 	394904288	
399004	深证100R	0.27	3718.19	10.05	--- 	--- 	13188961	--- 	          0.04	--- 	3708.19	3708.14	3751.48	3637.76	--- 	18935154688	
399005	中小板指	-2.47	5335.77	-135.35	--- 	--- 	11914379	--- 	--- 	--- 	5459.60	5471.12	5527.96	5218.02	--- 	23649132544	
399007	深证300P	-0.46	3314.36	-15.19	--- 	--- 	30114045	--- 	          0.06	--- 	3329.44	3329.55	3364.46	3243.06	--- 	38739431424	
399008	中小300P	-2.52	952.75	-24.58	--- 	--- 	10160945	--- 	          0.03	--- 	975.26	977.33	985.74	932.10	--- 	19021877248	
399100	新 指 数	-1.05	4674.94	-49.78	--- 	--- 	46653223	--- 	          0.07	--- 	4720.70	4724.72	4768.71	4574.08	--- 	67247816704	
399101	中小板综	-2.57	5696.88	-150.47	--- 	--- 	11914379	--- 	          0.04	--- 	5833.26	5847.35	5896.49	5571.01	--- 	23649132544	
399106	深证综指	-1.33	1049.99	-14.18	--- 	--- 	60325950	--- 	          0.07	--- 	1063.02	1064.17	1073.21	1027.38	--- 	73039134720	
399107	深证Ａ指	-1.33	1102.06	-14.86	--- 	--- 	49513553	--- 	          0.08	--- 	1115.73	1116.92	1126.52	1078.18	--- 	71177314304	
399108	深证Ｂ指	-1.44	557.06	-8.12	--- 	--- 	745584	--- 	--- 	--- 	564.33	565.18	567.09	549.53	--- 	385821440	
399110	农林指数	-2.85	811.48	-23.79	--- 	--- 	1736769	--- 	--- 	--- 	837.96	835.27	850.40	801.31	--- 	2980361216	
399120	采掘指数	1.30	2627.33	33.64	--- 	--- 	1136269	--- 	          0.18	--- 	2605.54	2593.69	2646.16	2564.30	--- 	2793013248	
399130	制造指数	-1.85	1130.41	-21.27	--- 	--- 	30631215	--- 	          0.08	--- 	1149.30	1151.68	1160.52	1107.52	--- 	44089917440	
399131	食品指数	-1.24	1872.83	-23.42	--- 	--- 	1260392	--- 	         -0.02	--- 	1892.83	1896.25	1913.14	1847.46	--- 	2327990016	
399132	纺织指数	-2.16	677.56	-14.99	--- 	--- 	2059012	--- 	          0.25	--- 	689.56	692.55	697.40	662.54	--- 	2080001024	
399133	木材指数	-0.81	244.71	-1.99	--- 	--- 	248435	--- 	         -0.01	--- 	246.58	246.70	247.25	237.32	--- 	291829920	
399134	造纸指数	-1.84	661.13	-12.37	--- 	--- 	1205794	--- 	          0.32	--- 	673.29	673.50	679.38	643.03	--- 	1350693760	
399135	石化指数	-1.47	1104.23	-16.49	--- 	--- 	5307591	--- 	          0.12	--- 	1119.37	1120.72	1132.15	1079.85	--- 	7242015232	
399136	电子指数	-3.44	451.60	-16.08	--- 	--- 	3964111	--- 	          0.13	--- 	466.50	467.68	471.64	443.10	--- 	5391647744	
399137	金属指数	0.14	1142.53	1.59	--- 	--- 	5062741	--- 	          0.11	--- 	1141.37	1140.94	1154.04	1117.87	--- 	6406343168	
399138	机械指数	-2.47	1257.88	-31.88	--- 	--- 	8451138	--- 	          0.03	--- 	1285.72	1289.76	1298.50	1229.37	--- 	12996992000	
399139	医药指数	-3.30	1259.27	-42.93	--- 	--- 	2352645	--- 	          0.03	--- 	1297.07	1302.20	1311.11	1236.35	--- 	4733202432	
399140	水电指数	-1.26	715.58	-9.12	--- 	--- 	1460206	--- 	          0.15	--- 	722.46	724.70	728.91	700.40	--- 	1181216640	
399150	建筑指数	-1.36	931.57	-12.83	--- 	--- 	445119	--- 	          0.07	--- 	942.82	944.40	952.38	911.30	--- 	639160576	
399160	运输指数	-0.15	1043.15	-1.60	--- 	--- 	1125289	--- 	          0.07	--- 	1048.61	1044.75	1059.29	1021.05	--- 	1263983488	
399170	IT指数	-2.98	818.28	-25.17	--- 	--- 	2461311	--- 	          0.03	--- 	842.45	843.45	850.87	800.60	--- 	5451608064	
399180	批零指数	-1.17	1328.56	-15.70	--- 	--- 	2032674	--- 	          0.01	--- 	1341.33	1344.26	1355.33	1295.42	--- 	2592463616	
399190	金融指数	0.66	780.43	5.12	--- 	--- 	871217	--- 	          0.11	--- 	775.26	775.31	787.12	759.30	--- 	1453415808	
399200	地产指数	2.45	1295.38	30.93	--- 	--- 	3513541	--- 	          0.03	--- 	1266.75	1264.45	1304.19	1262.54	--- 	3020192768	
399210	服务指数	-1.05	856.96	-9.07	--- 	--- 	1972568	--- 	          0.15	--- 	867.47	866.03	877.07	833.71	--- 	2864793088	
399220	传播指数	-6.37	593.13	-40.32	--- 	--- 	381969	--- 	         -0.02	--- 	630.42	633.45	638.17	581.46	--- 	752288832	
399230	综企指数	0.46	617.66	2.83	--- 	--- 	2474414	--- 	          0.10	--- 	616.72	614.83	626.04	596.90	--- 	2431764992	
399300	沪深300	0.76	2858.23	21.44	--- 	--- 	50209173	--- 	          0.14	--- 	2842.37	2836.79	2872.31	2798.52	--- 	64909189120	
399305	基金指数	1.01	4626.47	46.04	--- 	--- 	10066813	--- 	          0.10	--- 	4580.04	4580.43	4626.47	4559.76	--- 	1476001920	
399310	巨潮40	1.73	3364.47	57.28	--- 	--- 	15650571	--- 	          0.14	--- 	3319.54	3307.19	3376.98	3295.64	--- 	19467708416	
399311	巨潮1000	-0.08	2812.27	-2.15	--- 	--- 	102636691	--- 	          0.15	--- 	2817.12	2814.42	2842.40	2753.54	--- 	125907468288	
399312	巨潮300	0.68	3028.38	20.56	--- 	--- 	50865060	--- 	          0.15	--- 	3013.84	3007.82	3044.36	2964.92	--- 	67000152064	
399313	巨潮100	1.38	2912.42	39.53	--- 	--- 	25692423	--- 	          0.14	--- 	2881.20	2872.89	2924.94	2852.95	--- 	35816550400	
399314	巨潮大盘	1.01	2719.41	27.28	--- 	--- 	39403964	--- 	          0.15	--- 	2698.24	2692.13	2731.69	2662.96	--- 	50813202432	
